ColorCollectionID,ColorID,ColorName,ColorNumber1,ColorNumber2,ColorType,Counter
2793,14392,"147","BARKBRUN",,0,32349
2795,403250,"139","GLITTERING GREY",,0,32360
2795,403252,"149","GORGEOUS GREEN",,0,32361
2795,403251,"144","LOVELY RED",,0,32365
2796,14302,"255","FALURÖD",,0,32372
2798,403620,"446","BARRGRÖN",,0,32378
2798,403617,"246","FALURÖD",,0,32380
2798,403618,"248","HÄLSINGERÖD",,0,32383
2798,253851,"297","ODONBLÅ",,0,32384
2798,403619,"308","SKÅNEBLÅ",,0,32385
2798,403616,"178","STOCKBRUN",,0,32386
2799,42295,"120","LIFE FRIHET",,0,32387
2799,41807,"117","LIFE HARMONI",,0,32388
2799,41936,"118","LIFE KÄRLEK",,0,32389
2799,42432,"122","LIFE LÄTTJA",,0,32390
2799,41370,"125","LIFE LUGN",,0,32391
2799,41823,"116","LIFE LUST",,0,32392
2799,42815,"124","LIFE LYCKA",,0,32393
2799,41581,"115","LIFE ÖMHET",,0,32394
2799,42055,"119","LIFE PASSION",,0,32395
2799,42321,"121","LIFE STOLTHET",,0,32396
2799,42482,"123","LIFE VÄNSKAP",,0,32397
2799,41561,"114","LIFE VÄRME",,0,32398
2800,403627,"141",,,0,32399
2800,403631,"2","BENGUL",,0,32401
2800,403638,"7","BRUN",,0,32402
2800,403632,"216","BYGDERÖD",,0,32403
2800,251400,"501","F.VIT",,0,32404
2800,250555,"191","FALURÖD",,0,32405
2800,403634,"305","FASADBLÅ",,0,32406
2800,403628,"153","FASADBRUN",,0,32407
2800,253557,"425","FASADGRÖN",,0,32408
2800,252497,"530","GRÅ",,0,32410
2800,403629,"158","HASSELBRUN",,0,32411
2800,403626,"134","HERRGÅRDSGUL",,0,32412
2800,403633,"3","HERRGÅRDSGUL",,0,32413
